Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,DistanceFromHome,JobSatisfaction,WorkLifeBalance,OverTime,NumCompaniesWorked,TotalWorkingYears,PerformanceRating,Education,MaritalStatus,BusinessTravel,Attrition
47,Sales,Sales Representative,2972,13,6,8,2,3,Yes,2,26,3,Master,Single,Travel_Frequently,Yes
49,Sales,Sales Executive,4914,15,1,9,4,3,No,1,27,4,Below College,Divorced,Travel_Frequently,Yes
28,Human Resources,Manager,5538,0,0,9,3,3,No,3,9,4,College,Married,Non-Travel,No
25,Research & Development,Laboratory Technician,4898,4,4,1,4,4,No,2,7,3,Doctor,Married,Travel_Rarely,No
29,Human Resources,Manager,7302,4,0,4,3,3,No,1,8,4,Bachelor,Single,Travel_Rarely,No
49,Research & Development,Laboratory Technician,3509,11,5,11,3,3,No,2,27,3,College,Single,Travel_Rarely,Yes
39,Sales,Sales Executive,4648,9,6,5,3,3,Yes,1,19,3,Bachelor,Married,Travel_Rarely,No
45,Human Resources,Manager,6655,12,6,11,3,3,No,1,26,4,Below College,Married,Travel_Rarely,No
41,Research & Development,Laboratory Technician,4002,12,6,11,4,3,No,1,23,3,Master,Single,Travel_Rarely,No
27,Sales,Sales Executive,4149,3,0,10,3,3,Yes,3,5,3,Bachelor,Single,Travel_Frequently,No
38,Human Resources,Manager,7433,9,1,11,3,3,Yes,2,17,3,College,Single,Travel_Rarely,No
23,Research & Development,Laboratory Technician,2584,0,0,20,1,1,Yes,3,1,3,Bachelor,Single,Travel_Frequently,Yes
44,Sales,Manager,7333,10,7,13,3,2,No,4,24,3,College,Married,Non-Travel,No
32,Sales,Manager,7708,5,1,3,3,3,No,2,10,3,College,Single,Travel_Rarely,No
29,Research & Development,Research Director,7885,5,1,14,2,2,Yes,3,11,3,Bachelor,Married,Travel_Frequently,Yes
41,Sales,Manager,7916,11,1,11,4,3,No,1,23,4,College,Single,Travel_Rarely,No
23,Research & Development,Laboratory Technician,3619,0,0,15,3,2,Yes,3,1,3,Bachelor,Single,Travel_Frequently,Yes
56,Sales,Sales Executive,5356,20,6,9,4,3,No,2,36,4,Master,Single,Travel_Rarely,No
33,Research & Development,Laboratory Technician,3939,5,1,10,3,4,No,1,12,3,Bachelor,Married,Non-Travel,No
24,Sales,Sales Executive,4847,1,0,13,3,3,No,1,4,4,College,Single,Travel_Frequently,No
34,Research & Development,Manufacturing Director,10031,8,7,9,4,3,No,2,14,4,Bachelor,Married,Non-Travel,No
31,Research & Development,Research Director,9642,9,3,1,4,4,No,2,13,3,Bachelor,Single,Travel_Rarely,No
31,Research & Development,Manufacturing Director,8903,7,2,10,3,3,No,2,11,3,Bachelor,Married,Travel_Frequently,No
59,Research & Development,Manufacturing Director,7146,16,7,15,2,2,Yes,2,37,3,Master,Married,Travel_Frequently,Yes
49,Sales,Sales Executive,4042,13,9,10,3,3,Yes,1,31,4,College,Single,Travel_Frequently,No
49,Sales,Sales Executive,5672,13,10,1,4,4,No,1,27,4,Bachelor,Married,Travel_Rarely,No
43,Research & Development,Laboratory Technician,3888,11,0,13,3,2,Yes,3,23,4,Bachelor,Divorced,Non-Travel,Yes
29,Human Resources,Human Resources,3215,6,1,16,3,2,Yes,2,8,3,Bachelor,Single,Travel_Rarely,Yes
54,Research & Development,Manufacturing Director,9085,18,7,16,2,3,Yes,2,34,3,Master,Single,Non-Travel,Yes
50,Human Resources,Human Resources,5082,18,11,7,4,4,No,1,29,4,College,Married,Travel_Frequently,No
51,Sales,Manager,5740,17,10,13,4,3,No,2,31,4,Bachelor,Single,Travel_Rarely,No
33,Research & Development,Research Scientist,6986,11,9,6,4,4,No,2,12,4,Master,Married,Non-Travel,No
59,Sales,Sales Representative,3622,20,3,3,4,4,No,1,37,3,Bachelor,Single,Travel_Rarely,No
52,Human Resources,Manager,5854,18,7,14,2,2,Yes,4,34,3,Doctor,Single,Travel_Frequently,Yes
54,Sales,Sales Executive,4463,17,12,12,2,3,No,2,36,4,Bachelor,Married,Travel_Frequently,No
46,Research & Development,Laboratory Technician,3225,10,1,9,3,2,Yes,3,26,3,Below College,Single,Travel_Rarely,No
46,Human Resources,Human Resources,3627,11,1,7,3,3,No,1,27,3,Bachelor,Single,Travel_Rarely,No
32,Human Resources,Manager,7208,3,3,14,2,2,Yes,3,14,3,College,Single,Travel_Frequently,Yes
36,Research & Development,Research Director,8436,6,5,5,3,4,No,1,15,3,College,Divorced,Travel_Frequently,No
36,Research & Development,Research Scientist,6501,7,0,5,4,4,No,2,14,3,Doctor,Divorced,Travel_Rarely,No
48,Research & Development,Research Director,7006,10,3,12,2,2,Yes,2,26,3,College,Married,Travel_Frequently,No
27,Research & Development,Research Scientist,5897,5,4,10,4,4,No,1,9,3,Doctor,Married,Travel_Rarely,No
53,Research & Development,Laboratory Technician,4078,17,0,7,4,4,No,1,33,3,Bachelor,Married,Travel_Frequently,No
59,Human Resources,Human Resources,4090,21,0,16,2,2,Yes,3,40,3,Bachelor,Single,Travel_Frequently,Yes
39,Research & Development,Research Scientist,3620,9,4,16,2,2,Yes,3,21,3,Master,Single,Travel_Frequently,No
54,Sales,Manager,7367,16,0,13,4,4,No,3,33,3,Master,Married,Travel_Rarely,No
50,Human Resources,Human Resources,4903,15,6,6,4,4,No,1,28,3,College,Married,Travel_Rarely,No
38,Sales,Manager,9514,9,7,8,4,4,No,1,17,4,Master,Married,Travel_Frequently,No
57,Research & Development,Research Scientist,5400,18,10,15,2,2,Yes,3,37,3,Bachelor,Single,Travel_Frequently,Yes
31,Research & Development,Research Scientist,6338,7,5,9,4,4,No,2,12,4,Master,Married,Travel_Rarely,No
28,Research & Development,Research Scientist,4532,5,1,17,1,1,Yes,2,10,3,Master,Single,Travel_Frequently,Yes
37,Sales,Sales Representative,2958,6,0,13,2,2,Yes,1,18,3,Bachelor,Single,Travel_Frequently,Yes
26,Research & Development,Research Director,8132,3,2,10,4,3,No,2,8,4,Bachelor,Married,Travel_Rarely,No
55,Research & Development,Laboratory Technician,4149,19,13,5,4,4,No,2,35,4,Master,Married,Travel_Rarely,No
22,Research & Development,Manufacturing Director,8666,3,3,10,4,4,No,1,4,3,Bachelor,Divorced,Non-Travel,No
59,Human Resources,Manager,7733,17,2,8,3,3,No,2,38,4,Below College,Single,Travel_Rarely,No
45,Research & Development,Research Director,9812,13,13,7,4,4,No,2,23,3,Master,Single,Travel_Rarely,No
25,Human Resources,Human Resources,4790,2,0,12,3,3,No,2,3,4,Bachelor,Married,Travel_Frequently,No
23,Sales,Sales Representative,3598,4,4,5,4,4,No,2,5,3,Master,Married,Travel_Rarely,No
60,Research & Development,Research Scientist,5166,16,5,9,3,3,No,2,38,4,Bachelor,Married,Non-Travel,No
53,Human Resources,Human Resources,5323,16,11,2,4,4,No,3,33,4,College,Single,Travel_Rarely,No
52,Human Resources,Human Resources,3711,15,0,17,2,3,Yes,1,32,3,Bachelor,Single,Travel_Frequently,Yes
56,Human Resources,Manager,7766,17,12,16,2,3,Yes,1,38,3,Bachelor,Married,Travel_Frequently,No
53,Research & Development,Laboratory Technician,4332,16,11,7,4,3,No,1,31,4,Bachelor,Single,Travel_Rarely,No
32,Research & Development,Laboratory Technician,4031,6,3,11,4,3,No,3,14,3,Bachelor,Single,Travel_Rarely,No
47,Research & Development,Manufacturing Director,7065,10,6,12,2,2,Yes,3,28,3,Bachelor,Single,Travel_Frequently,Yes
26,Sales,Sales Executive,4739,3,1,7,3,3,No,2,4,3,College,Divorced,Travel_Rarely,No
30,Human Resources,Human Resources,3129,5,3,21,1,1,Yes,3,12,3,Doctor,Single,Travel_Frequently,Yes
45,Sales,Sales Representative,3028,12,6,14,2,2,Yes,3,27,3,Bachelor,Single,Travel_Frequently,Yes
42,Research & Development,Research Scientist,4115,8,0,25,2,2,Yes,3,23,3,Master,Single,Travel_Frequently,Yes
58,Human Resources,Manager,6648,16,9,9,3,3,No,1,38,3,Bachelor,Married,Travel_Rarely,No
22,Research & Development,Research Director,6780,0,0,16,2,2,Yes,2,0,3,Below College,Single,Travel_Frequently,Yes
27,Research & Development,Research Director,8795,2,0,3,3,4,No,2,5,3,Bachelor,Married,Non-Travel,No
37,Human Resources,Human Resources,4843,9,1,15,3,4,No,2,18,3,Bachelor,Single,Travel_Rarely,No
45,Research & Development,Research Director,9586,15,8,3,4,4,No,1,27,4,College,Married,Travel_Rarely,No
24,Sales,Sales Representative,3844,5,4,4,4,4,No,1,5,4,Bachelor,Married,Travel_Frequently,No
51,Research & Development,Research Scientist,5051,13,6,14,2,2,Yes,3,31,3,Master,Married,Travel_Frequently,No
36,Sales,Sales Representative,3469,11,10,7,4,3,No,2,15,4,Master,Married,Travel_Rarely,No
22,Sales,Sales Representative,3567,1,1,3,4,4,No,1,1,3,Bachelor,Single,Travel_Rarely,No
53,Research & Development,Research Scientist,5612,14,13,18,2,3,Yes,2,32,3,Below College,Married,Travel_Frequently,No
37,Sales,Manager,10308,8,5,3,4,4,No,2,15,4,Master,Single,Travel_Rarely,No
53,Human Resources,Human Resources,3411,15,1,14,2,2,Yes,3,35,3,Bachelor,Single,Travel_Frequently,No
40,Sales,Manager,9377,8,6,6,4,4,No,1,18,3,Bachelor,Married,Travel_Rarely,No
27,Sales,Manager,8461,5,5,13,3,3,No,3,8,3,Bachelor,Single,Travel_Rarely,No
34,Sales,Manager,7999,7,5,7,3,3,No,4,13,3,Bachelor,Single,Travel_Frequently,No
37,Research & Development,Research Scientist,4379,7,2,17,3,3,Yes,1,18,3,College,Single,Travel_Frequently,Yes
22,Human Resources,Manager,8713,0,0,6,4,3,No,2,0,3,College,Single,Travel_Rarely,No
59,Sales,Manager,8048,21,0,8,4,3,No,2,38,4,Bachelor,Married,Travel_Rarely,No
58,Human Resources,Human Resources,3167,18,9,16,2,2,Yes,2,40,3,Bachelor,Single,Travel_Frequently,Yes
23,Research & Development,Research Director,7508,0,0,11,3,2,No,2,3,3,College,Single,Travel_Rarely,No
58,Human Resources,Human Resources,3486,18,4,18,2,1,Yes,3,40,3,Master,Single,Travel_Frequently,Yes
40,Sales,Sales Executive,4739,15,1,6,4,4,No,1,21,4,Bachelor,Married,Travel_Rarely,No
42,Human Resources,Manager,8312,14,8,9,4,3,No,2,24,4,Bachelor,Single,Travel_Rarely,No
25,Sales,Manager,8173,1,0,2,4,4,No,1,4,3,College,Married,Travel_Frequently,No
49,Sales,Sales Representative,2715,13,9,18,2,3,Yes,4,29,3,College,Single,Travel_Frequently,Yes
28,Sales,Manager,5791,2,0,18,2,3,Yes,3,9,3,Bachelor,Single,Travel_Frequently,No
38,Human Resources,Human Resources,4363,7,7,6,2,3,No,2,16,3,Bachelor,Single,Travel_Frequently,No
52,Research & Development,Laboratory Technician,3698,14,11,13,3,2,Yes,3,31,3,Master,Married,Travel_Rarely,No
34,Research & Development,Research Scientist,5143,7,0,9,4,3,No,3,15,4,Bachelor,Married,Travel_Rarely,No
29,Sales,Manager,5994,4,1,8,3,2,No,2,9,3,Bachelor,Married,Travel_Rarely,No
37,Sales,Manager,6564,5,3,10,3,2,Yes,3,16,3,Bachelor,Single,Travel_Frequently,No
42,Sales,Manager,7565,12,8,15,3,3,No,4,24,3,Master,Married,Travel_Rarely,No
57,Human Resources,Manager,7802,21,2,6,4,3,No,2,39,4,College,Single,Travel_Rarely,No
42,Human Resources,Human Resources,3795,9,4,7,3,2,Yes,2,22,3,Master,Single,Travel_Frequently,No
42,Research & Development,Laboratory Technician,4150,11,9,5,3,3,No,3,20,4,Bachelor,Single,Travel_Rarely,No
48,Human Resources,Human Resources,3991,11,5,7,3,3,No,3,30,3,Below College,Married,Travel_Rarely,No
31,Human Resources,Human Resources,3458,5,4,10,3,3,No,1,12,3,Below College,Married,Travel_Frequently,No
25,Human Resources,Human Resources,3914,2,0,8,3,3,Yes,1,5,4,Bachelor,Married,Travel_Rarely,No
52,Human Resources,Human Resources,5008,17,13,2,3,4,No,1,30,4,Master,Married,Travel_Rarely,No
46,Research & Development,Laboratory Technician,3594,13,8,12,3,2,No,1,26,4,Bachelor,Single,Travel_Rarely,No
53,Human Resources,Human Resources,4153,20,4,10,4,4,No,2,33,4,Master,Married,Travel_Rarely,No
42,Research & Development,Manufacturing Director,8588,11,8,13,4,3,No,2,24,3,Below College,Married,Travel_Rarely,No
26,Research & Development,Research Scientist,5068,2,0,9,2,3,Yes,3,5,3,Bachelor,Single,Travel_Frequently,Yes
28,Sales,Sales Executive,3583,1,0,14,2,2,Yes,4,10,3,Master,Married,Travel_Frequently,Yes
42,Sales,Manager,7923,12,10,11,3,3,No,3,21,4,College,Single,Travel_Rarely,No
27,Human Resources,Human Resources,4291,4,3,7,3,3,No,3,6,3,Bachelor,Married,Travel_Rarely,No
37,Sales,Manager,8700,10,10,6,4,4,No,1,17,3,Bachelor,Divorced,Non-Travel,No
45,Sales,Sales Executive,5288,11,0,8,4,4,No,2,24,3,Bachelor,Divorced,Travel_Rarely,No
56,Sales,Manager,6333,18,13,18,2,3,Yes,2,37,3,Doctor,Married,Travel_Frequently,No
44,Human Resources,Human Resources,4519,12,9,7,4,4,No,2,23,4,Bachelor,Married,Travel_Rarely,No
